what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533337236
error,log,,,"An error occurred while collecting items to be installed",1356533360895
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533361384
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533364532
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533364967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533373537
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533377547
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533377663
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1356533383851
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1356533383894
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1356533383894
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533383953
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1356533386209
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533393004
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533532507
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.update",1356533546224
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533546573
error,log,,,"Operation details",1356533549854
error,log,,,"Operation details",1356533549856
error,log,,,"Operation details",1356533549910
error,log,,,"Operation details",1356533549921
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533556360
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533556362
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533566132
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533571102
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1356533598094
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533598154
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.update",1356533601950
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533602300
error,log,,,"Operation details",1356533605017
error,log,,,"Operation details",1356533605019
error,log,,,"Operation details",1356533605071
error,log,,,"Operation details",1356533605080
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533608914
started,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1356533612033
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533615176
executed,command,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1356533625119
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533625167
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533633698
error,log,,,"Operation details",1356533714157
error,log,,,"Operation details",1356533714187
error,log,,,"Operation details",1356533815653
error,log,,,"Operation details",1356533815655
error,log,,,"Operation details",1356533930051
error,log,,,"Operation details",1356533930054
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1356533933037
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533933120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356533937806
